event_id,sensor_id,time
55000,28794,17.40069
55000,28796,11.975626
55000,28864,27.823309
55000,28899,64.18823
55000,28901,18.616444
55000,28903,18.701252
55000,28907,17.433517
55000,28911,37.49044
55000,28915,114.67676
55000,28929,6.4791436
55000,28937,12.803495
55000,28945,57.351494
55000,29014,53.265892
55000,29017,59.859997
55000,29049,46.916897
55000,29050,20.126047
55000,29055,18.653515
55000,29058,19.922983
55000,29060,54.642147
55000,29061,34.33716
55000,29072,17.03827
55000,29103,11.1202
55000,29103,175.47713
55000,29162,35.582504
55000,29181,18.765429
55000,29194,20.91137
55000,29196,8.04947
55000,29197,5.4996405
55000,29200,21.473482
55000,29200,52.554565
55000,29202,15.05257
55000,29203,28.25243
55000,29203,73.18419
55000,29207,61.812492
55000,29211,76.65977
55000,29218,51.094997
55000,29220,11.796518
55000,29223,9.318846
55000,29227,12.537016
55000,29256,171.01309
55000,29290,109.3004
55000,29293,83.94493
55000,29303,25.643217
55000,29309,11.272391
55000,29320,36.409847
55000,29329,55.407257
55000,29331,45.07185
55000,29332,66.312775
55000,29345,49.055935
55000,29345,98.045
55000,29355,21.259264
55000,29460,7.6561904
55000,29470,63.6992
55000,29474,32.87991
55000,29478,5.07553
55000,29480,65.77282
55000,29480,80.830185
55000,29481,24.268782
55000,29482,17.221542
55000,29483,28.3431
55000,29489,12.390376
55000,29489,17.271378
55000,29491,25.634607
55000,29497,82.06857
55000,29606,11.232086
55000,29610,13.723564
55000,29624,20.536066
55000,29636,87.463455
55000,29650,35.264633
55000,29739,29.577736
55000,29747,48.820824
55000,29757,21.867092
55000,29758,59.63382
55000,29760,18.08061
55000,29769,7.902519
55000,29772,28.605967
55000,29772,79.788345
55000,29774,190.90009
55000,29782,13.115038
55000,29783,78.748764
55000,29790,35.401978
55000,29877,34.792057
55000,29891,83.80668
55000,29893,90.37984
55000,29899,68.62025
55000,29903,39.50418
55000,29913,18.060461
55000,29914,38.453316
55000,29919,8.916347
55000,29923,8.369252
55000,29942,29.662264
55000,29951,27.765165
55000,30011,10.643467
55000,30026,44.953476
55000,30030,5.8907094
55000,30030,53.0343
55000,30036,36.27937
55000,30038,81.19268
55000,30040,6.6780725
55000,30057,54.789627
55000,30060,19.950865
55000,30060,67.19782
55000,30071,4.805977
55000,30073,26.297373
55000,30074,38.154316
55000,30151,76.67622
55000,30166,90.32859
55000,30175,100.50226
55000,30177,44.091347
55000,30180,48.968784
55000,30184,87.08184
55000,30198,14.22131
55000,30207,22.408371
55000,30308,11.858626
55000,30330,13.477001
55000,30332,27.576994
55000,30334,147.39662
55000,30335,73.337685
55000,30336,70.94062
55000,30342,119.0944
55000,30367,19.070253
55000,30448,8.283492
55000,30453,8.545701
55000,30458,37.32805
55000,30486,59.371166
55000,30488,10.831511
55000,30504,13.029795
55000,30519,12.090598
55000,30605,3.7559767
55000,30609,155.60371
55000,30610,60.774796
55000,30613,72.38455
55000,30618,25.861563
55000,30618,63.15947
55000,30621,92.72374
55000,30635,160.52342
55000,30641,55.97597
55000,30736,29.950592
55000,30749,15.555705
55000,30755,73.78133
55000,30757,38.99444
55000,30758,17.145378
55000,30767,54.511322
55000,30767,70.66213
55000,30767,252.33649
55000,30782,7.218039
55000,30894,51.849407
55000,30897,86.60935
55000,30900,61.27853
55000,30903,51.080444
55000,30904,84.00094
55000,30907,60.683407
55000,30908,24.806852
55000,30909,48.759907
55000,30911,23.931393
55000,30913,51.92021
55000,30915,27.587383
55000,30915,35.716187
55000,30942,43.8018
55000,30977,53.053993
55000,31016,63.92863
55000,31029,9.431573
55000,31034,8.500201
55000,31037,13.127785
55000,31039,18.969639
55000,31041,10.776217
55000,31042,32.553955
55000,31043,6.477694
55000,31054,14.918189
55000,31059,51.589832
55000,31074,63.696354
55000,31078,37.025475
55000,31082,76.85404
55000,31140,45.13291
55000,31142,73.41933
55000,31184,22.944397
55000,31189,118.83694
55000,31190,26.13684
55000,31191,76.09484
55000,31194,122.80859
55000,31195,26.486753
55000,31197,63.31411
55000,31207,109.234634
55000,31314,211.29153
55000,31322,26.307842
55000,31324,34.040985
55000,31325,132.99744
55000,31328,95.4635
55000,31329,210.0119
55000,31330,27.806963
55000,31331,21.05396
55000,31334,38.163593
55000,31335,29.795359
55000,31339,66.250626
55000,31355,13.172327
55000,31455,19.87013
55000,31456,6.6027803
55000,31456,158.27129
55000,31460,10.631175
55000,31466,65.524704
55000,31467,68.546
55000,31468,49.56165
55000,31469,97.372215
55000,31470,3.3380544
55000,31470,5.069861
55000,31471,7.2995872
55000,31472,4.761748
55000,31472,65.20308
55000,31479,8.806597
55000,31486,4.371195
55000,31486,27.794662
55000,31571,8.3642
55000,31605,176.96275
55000,31608,13.408603
55000,31612,19.982931
55000,31621,80.8265
55000,31624,61.709064
55000,31625,12.90604
55000,31724,22.484016
55000,31738,5.4481773
55000,31747,8.202873
55000,31749,13.861654
55000,31753,9.538997
55000,31755,146.69356
55000,31756,127.38104
55000,31758,20.623386
55000,31762,31.30044
55000,31830,63.286694
55000,31885,36.755974
55000,31887,5.8981876
55000,31893,19.222223
55000,31899,77.33479
55000,31901,77.83691
55000,31902,106.937485
55000,31903,15.690084
55000,31922,34.59436
55000,32022,57.49381
55000,32031,4.8264265
55000,32032,52.844997
55000,32033,67.86853
55000,32034,59.752003
55000,32037,113.84648
55000,32040,15.433842
55000,32043,36.199883
55000,32044,31.55965
55000,32046,43.639683
55000,32054,6.204382
55000,32161,42.80768
55000,32168,129.35437
55000,32170,18.896894
55000,32174,108.53785
55000,32176,2.709701
55000,32179,8.974115
55000,32181,21.263931
55000,32182,62.661865
55000,32184,38.059563
55000,32185,111.618256
55000,32190,28.54413
55000,32193,17.079748
55000,32193,99.08266
55000,32195,74.20321
55000,32197,4.804255
55000,32198,49.73709
55000,32286,25.458216
55000,32297,82.25886
55000,32305,39.485786
55000,32307,16.270672
55000,32310,81.005516
55000,32312,50.976933
55000,32319,9.377465
55000,32320,18.3488
55000,32321,36.581223
55000,32323,28.975788
55000,32325,18.504702
55000,32325,36.1886
55000,32326,44.694004
55000,32326,73.37704
55000,32327,17.95212
55000,32330,32.852417
55000,32331,6.096802
55000,32333,41.782738
55000,32406,65.21545
55000,32456,15.175149
55000,32458,68.40735
55000,32460,35.708435
55000,32461,8.967009
55000,32462,13.744588
55000,32463,5.031251
55000,32465,21.032827
55000,32467,3.3576295
55000,32468,2.8499968
55000,32468,60.57511
55000,32469,11.663111
55000,32470,4.858206
55000,32476,36.868942
55000,32588,31.553192
55000,32597,24.014961
55000,32597,64.12493
55000,32598,68.24173
55000,32601,39.764484
55000,32605,7.892928
55000,32605,12.045359
55000,32606,77.80959
55000,32607,8.830711
55000,32608,28.452448
55000,32610,21.742846
55000,32611,32.04848
55000,32611,48.00548
55000,32611,100.992325
55000,32612,156.3678
55000,32614,24.923042
55000,32617,12.972689
55000,32732,29.131948
55000,32738,29.507593
55000,32740,68.187416
55000,32741,56.05706
55000,32742,27.285975
55000,32743,43.974606
55000,32744,34.430664
55000,32746,56.28822
55000,32747,32.656006
55000,32748,42.86528
55000,32748,44.703102
55000,32749,6.7784038
55000,32751,61.993923
55000,32752,20.929123
55000,32752,32.312275
55000,32753,53.258186
55000,32756,4.118233
55000,32756,27.972563
55000,32758,45.338757
55000,32765,99.719826
55000,32862,5.3630967
55000,32878,88.07674
55000,32880,27.02279
