sensor_id,x,y,z
303,-14.0056715,392.14996,-360.5
304,-14.0056715,392.14996,-353.5
305,-14.0056715,392.14996,-346.5
306,-14.0056715,392.14996,-339.5
307,-14.0056715,392.14996,-332.5
308,-14.0056715,392.14996,-325.5
309,-14.0056715,392.14996,-318.5
310,-14.0056715,392.14996,-311.5
311,-14.0056715,392.14996,-304.5
312,-14.0056715,392.14996,-297.5
313,-14.0056715,392.14996,-290.5
314,-14.0056715,392.14996,-283.5
315,-14.0056715,392.14996,-276.5
316,-14.0056715,392.14996,-269.5
317,-14.0056715,392.14996,-262.5
318,-14.0056715,392.14996,-255.5
319,-14.0056715,392.14996,-248.5
320,-14.0056715,392.14996,-241.5
321,-14.0056715,392.14996,-234.5
322,-14.0056715,392.14996,-227.5
323,-14.0056715,392.14996,-220.5
324,-14.0056715,392.14996,-213.5
325,-14.0056715,392.14996,-206.5
326,-14.0056715,392.14996,-199.5
327,-14.0056715,392.14996,-192.5
328,-14.0056715,392.14996,-185.5
329,-14.0056715,392.14996,-178.5
330,-14.0056715,392.14996,-171.5
331,-14.0056715,392.14996,-164.5
332,-14.0056715,392.14996,-157.5
333,-14.0056715,392.14996,-150.5
334,-14.0056715,392.14996,-143.5
335,-14.0056715,392.14996,-136.5
336,-14.0056715,392.14996,-129.5
337,-14.0056715,392.14996,-122.5
338,-14.0056715,392.14996,-115.5
339,-14.0056715,392.14996,-108.5
340,-14.0056715,392.14996,-101.5
341,-14.0056715,392.14996,-94.5
342,-14.0056715,392.14996,-87.5
343,-14.0056715,392.14996,-80.5
344,-14.0056715,392.14996,-73.5
345,-14.0056715,392.14996,-66.5
346,-14.0056715,392.14996,-59.5
347,-14.0056715,392.14996,-52.5
348,-14.0056715,392.14996,-45.5
349,-14.0056715,392.14996,-38.5
350,-14.0056715,392.14996,-31.5
351,-14.0056715,392.14996,-24.5
352,-14.0056715,392.14996,-17.5
353,-14.0056715,392.14996,-10.5
354,-14.0056715,392.14996,-3.5
355,-14.0056715,392.14996,3.5
356,-14.0056715,392.14996,10.5
357,-14.0056715,392.14996,17.5
358,-14.0056715,392.14996,24.5
359,-14.0056715,392.14996,31.5
360,-14.0056715,392.14996,38.5
361,-14.0056715,392.14996,45.5
362,-14.0056715,392.14996,52.5
363,-14.0056715,392.14996,59.5
364,-14.0056715,392.14996,66.5
365,-14.0056715,392.14996,73.5
366,-14.0056715,392.14996,80.5
367,-14.0056715,392.14996,87.5
368,-14.0056715,392.14996,94.5
369,-14.0056715,392.14996,101.5
370,-14.0056715,392.14996,108.5
371,-14.0056715,392.14996,115.5
372,-14.0056715,392.14996,122.5
373,-14.0056715,392.14996,129.5
374,-14.0056715,392.14996,136.5
375,-14.0056715,392.14996,143.5
376,-14.0056715,392.14996,150.5
377,-14.0056715,392.14996,157.5
378,-14.0056715,392.14996,164.5
379,-14.0056715,392.14996,171.5
380,-14.0056715,392.14996,178.5
381,-14.0056715,392.14996,185.5
382,-14.0056715,392.14996,192.5
383,-14.0056715,392.14996,199.5
384,-14.0056715,392.14996,206.5
385,-14.0056715,392.14996,213.5
386,-14.0056715,392.14996,220.5
387,-14.0056715,392.14996,227.5
388,-14.0056715,392.14996,234.5
389,-14.0056715,392.14996,241.5
390,-14.0056715,392.14996,248.5
391,-14.0056715,392.14996,255.5
392,-14.0056715,392.14996,262.5
393,-14.0056715,392.14996,269.5
394,-14.0056715,392.14996,276.5
395,-14.0056715,392.14996,283.5
396,-14.0056715,392.14996,290.5
397,-14.0056715,392.14996,297.5
398,-14.0056715,392.14996,304.5
399,-14.0056715,392.14996,311.5
400,-14.0056715,392.14996,318.5
401,-14.0056715,392.14996,325.5
402,-14.0056715,392.14996,332.5
403,-14.0056715,392.14996,339.5
404,-14.0056715,392.14996,346.5
405,-14.0056715,392.14996,353.5
406,-14.0056715,392.14996,360.5
407,-14.0056715,392.14996,367.5
408,-14.0056715,392.14996,374.5
409,-14.0056715,392.14996,381.5
410,-14.0056715,392.14996,388.5
411,-14.0056715,392.14996,395.5
412,-14.0056715,392.14996,402.5
413,-14.0056715,392.14996,409.5
414,-14.0056715,392.14996,416.5
415,-14.0056715,392.14996,423.5
416,-14.0056715,392.14996,430.5
417,-14.0056715,392.14996,437.5
418,-14.0056715,392.14996,444.5
419,-14.0056715,392.14996,451.5
420,-14.0056715,392.14996,458.5
421,-14.0056715,392.14996,465.5
422,-14.0056715,392.14996,472.5
423,-14.0056715,392.14996,479.5
424,-14.0056715,392.14996,486.5
425,-14.0056715,392.14996,493.5
426,-21.00293,391.83752,-493.5
427,-21.00293,391.83752,-486.5
428,-21.00293,391.83752,-479.5
429,-21.00293,391.83752,-472.5
430,-21.00293,391.83752,-465.5
431,-21.00293,391.83752,-458.5
432,-21.00293,391.83752,-451.5
433,-21.00293,391.83752,-444.5
434,-21.00293,391.83752,-437.5
435,-21.00293,391.83752,-430.5
436,-21.00293,391.83752,-423.5
437,-21.00293,391.83752,-416.5
438,-21.00293,391.83752,-409.5
439,-21.00293,391.83752,-402.5
440,-21.00293,391.83752,-395.5
441,-21.00293,391.83752,-388.5
442,-21.00293,391.83752,-381.5
443,-21.00293,391.83752,-374.5
444,-21.00293,391.83752,-367.5
445,-21.00293,391.83752,-360.5
446,-21.00293,391.83752,-353.5
447,-21.00293,391.83752,-346.5
448,-21.00293,391.83752,-339.5
449,-21.00293,391.83752,-332.5
450,-21.00293,391.83752,-325.5
451,-21.00293,391.83752,-318.5
452,-21.00293,391.83752,-311.5
453,-21.00293,391.83752,-304.5
454,-21.00293,391.83752,-297.5
455,-21.00293,391.83752,-290.5
456,-21.00293,391.83752,-283.5
457,-21.00293,391.83752,-276.5
458,-21.00293,391.83752,-269.5
459,-21.00293,391.83752,-262.5
460,-21.00293,391.83752,-255.5
461,-21.00293,391.83752,-248.5
462,-21.00293,391.83752,-241.5
463,-21.00293,391.83752,-234.5
464,-21.00293,391.83752,-227.5
465,-21.00293,391.83752,-220.5
466,-21.00293,391.83752,-213.5
467,-21.00293,391.83752,-206.5
468,-21.00293,391.83752,-199.5
469,-21.00293,391.83752,-192.5
470,-21.00293,391.83752,-185.5
471,-21.00293,391.83752,-178.5
472,-21.00293,391.83752,-171.5
473,-21.00293,391.83752,-164.5
474,-21.00293,391.83752,-157.5
475,-21.00293,391.83752,-150.5
476,-21.00293,391.83752,-143.5
477,-21.00293,391.83752,-136.5
478,-21.00293,391.83752,-129.5
479,-21.00293,391.83752,-122.5
480,-21.00293,391.83752,-115.5
481,-21.00293,391.83752,-108.5
482,-21.00293,391.83752,-101.5
483,-21.00293,391.83752,-94.5
484,-21.00293,391.83752,-87.5
485,-21.00293,391.83752,-80.5
486,-21.00293,391.83752,-73.5
487,-21.00293,391.83752,-66.5
488,-21.00293,391.83752,-59.5
489,-21.00293,391.83752,-52.5
490,-21.00293,391.83752,-45.5
491,-21.00293,391.83752,-38.5
492,-21.00293,391.83752,-31.5
493,-21.00293,391.83752,-24.5
494,-21.00293,391.83752,-17.5
495,-21.00293,391.83752,-10.5
496,-21.00293,391.83752,-3.5
497,-21.00293,391.83752,3.5
498,-21.00293,391.83752,10.5
499,-21.00293,391.83752,17.5
500,-21.00293,391.83752,24.5
501,-21.00293,391.83752,31.5
502,-21.00293,391.83752,38.5
503,-21.00293,391.83752,45.5
504,-21.00293,391.83752,52.5
505,-21.00293,391.83752,59.5
506,-21.00293,391.83752,66.5
507,-21.00293,391.83752,73.5
508,-21.00293,391.83752,80.5
509,-21.00293,391.83752,87.5
510,-21.00293,391.83752,94.5
511,-21.00293,391.83752,101.5
512,-21.00293,391.83752,108.5
513,-21.00293,391.83752,115.5
514,-21.00293,391.83752,122.5
515,-21.00293,391.83752,129.5
516,-21.00293,391.83752,136.5
517,-21.00293,391.83752,143.5
518,-21.00293,391.83752,150.5
519,-21.00293,391.83752,157.5
520,-21.00293,391.83752,164.5
521,-21.00293,391.83752,171.5
522,-21.00293,391.83752,178.5
